LAD21NM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
East Suffolk,-,-,-,-,-,-,-,-,27325,29687,30001,28968
West Suffolk,-,-,-,-,-,-,-,-,28558,28240,29477,29436
Camden,36421,35110,37230,37619,37282,39757,39810,39537,41691,42416,41848,39994
City of London,#,#,#,#,#,#,#,#,#,#,#,#
Hackney,30627,32034,30735,32215,32771,32153,32211,34816,33652,35974,37440,36351
Hammersmith and Fulham,37229,35087,38066,38066,36864,37855,38009,40092,39420,42104,41267,39430
Haringey,29469,30407,30149,29153,30641,30838,30754,32965,33254,35757,35653,35963
Islington,33971,36241,38075,35446,36833,35442,36635,37972,45000,43715,46706,42786
Kensington and Chelsea,46143,#,41047,45497,45493,#,#,#,#,#,#,50337
Lambeth,33572,34079,32497,33525,32741,33258,33315,34266,38000,36969,42040,40511
Lewisham,29876,29332,31575,32493,32120,31988,33080,34201,33514,33754,37167,35365
Newham,26998,26489,26679,28261,25869,27144,27773,29107,30871,31807,32909,34869
Southwark,33347,33340,33818,34102,32978,33921,33975,35012,36159,39130,38403,38030
Tower Hamlets,34364,33805,34744,35004,34461,34463,36089,37643,38108,42608,41590,40533
Wandsworth,38304,36606,37177,38298,39253,39557,41325,40123,41724,43449,46430,43651
Westminster,45933,41815,42938,39064,40731,42833,41729,43105,44712,43990,44544,41977
Barking and Dagenham,26498,25915,26976,28403,27173,28511,28012,30200,29313,29363,32852,32931
Barnet,32674,32490,32331,32964,32138,33072,33443,37340,35645,36292,36411,35716
Bexley,31262,32041,32332,32930,32362,31987,34109,33453,34857,36932,39912,37572
Brent,27145,26808,28492,28026,30276,29775,29589,30347,30335,31746,34172,33805
Bromley,34514,34111,35980,36241,36428,36750,37657,40184,40000,41008,43704,41170
Croydon,29998,30268,30514,31176,31976,32845,32523,33541,35861,35172,37570,36347
Ealing,28604,30366,30477,29747,30125,28945,31237,32929,33019,31769,36482,34190
Enfield,29385,29041,29668,29642,30558,30921,30843,30920,30919,32997,33088,35586
Greenwich,31537,30603,30797,31469,30735,31396,32433,33145,35988,35953,36670,35598
Harrow,31660,31006,29833,32280,31511,32665,33400,34219,35000,35325,38347,38827
Havering,30800,30193,32033,31349,31269,32062,33234,32986,34145,33892,36017,35885
Hillingdon,29843,30734,31417,31174,31611,32809,33500,31618,30605,31340,35155,35695
Hounslow,29053,29236,30000,30037,30099,29323,30901,31792,32162,34682,34804,32516
Kingston upon Thames,33600,34898,35791,36414,36693,36778,38034,37594,38055,38561,41255,40572
Merton,32794,33037,33634,33149,32677,33135,34011,35708,37106,37906,41998,34127
Redbridge,33808,32202,32719,32311,33087,35747,33742,33201,33632,35534,36573,37118
Richmond upon Thames,39133,41136,41051,38925,39884,39534,42068,40818,42338,43069,49574,42151
Sutton,30575,29363,30656,31005,31200,31413,32723,32425,35758,36547,34996,36459
Waltham Forest,28814,27017,29018,27950,28088,29684,30746,31419,33212,34917,36875,36096
Bracknell Forest,29960,30033,30193,31436,31078,31500,30968,33054,31651,35121,36700,37296
Brighton and Hove,27693,28019,28107,28146,29059,28293,30348,30250,30061,31988,33848,32816
Isle of Wight,22297,23886,24954,24044,25830,25453,25278,26137,25489,26168,28498,27374
Medway,27165,28155,28616,27884,29472,29239,29244,30365,30514,31382,33266,30981
Milton Keynes,26643,28299,28134,29937,28915,27703,29118,31436,30162,32270,33256,33927
Portsmouth,25448,24299,24781,24560,26269,26528,25861,26655,27402,28569,27197,28827
Reading,29601,28354,31539,32162,31559,29177,31237,32234,33270,32812,33032,36500
Slough,26408,26780,27635,28134,27330,28384,28276,28651,31338,31990,32717,34371
Southampton,23416,23743,24301,24681,24907,25731,26448,27430,26472,28665,29926,30615
West Berkshire,30579,30000,31650,32731,30765,32001,33537,33167,32520,36320,35113,34724
Windsor and Maidenhead,34779,37451,38927,37812,37977,37178,37818,38986,39046,#,41320,38913
Wokingham,35748,36456,36499,37035,35754,37486,#,36867,40392,37898,38261,38459
Buckinghamshire,31815,33045,32260,31446,31700,32343,32663,34616,35135,35340,36349,35273
Eastbourne,25598,23496,23715,24010,26945,27226,25224,26815,29498,29311,31417,28864
Hastings,21711,22410,21800,21914,23323,24388,23722,23741,23725,24672,25845,26450
Lewes,27898,27967,26691,28068,29215,28841,29479,32102,28661,32838,31443,34195
Rother,26024,25416,24625,25476,25164,25923,26702,#,27582,29128,29154,30094
Wealden,30792,29494,30420,28271,30066,30421,30305,31226,30274,31221,34654,31090
Basingstoke and Deane,29360,29598,30646,31423,33117,31664,33485,33749,33337,36127,36588,36817
East Hampshire,30637,30191,31134,31321,28875,29509,32054,34936,35552,35756,35802,33802
Eastleigh,26885,27664,28350,29155,29783,29795,29658,30671,29959,30434,34938,34870
Fareham,27613,28659,28727,27941,30037,30202,29464,30969,31230,#,32949,36852
Gosport,25057,23600,#,25727,27415,27373,27129,28134,27769,28783,30127,31495
Hart,36203,37662,37668,34290,36788,36330,35303,37801,37080,#,41311,40172
Havant,24968,25388,25636,28265,27436,27766,27340,29190,29317,29861,29854,29041
New Forest,27055,27586,28209,28839,28619,27993,29545,30545,30144,31145,33676,32425
Rushmoor,27497,27120,#,28260,29178,28092,28797,29468,32466,32083,35237,35076
Test Valley,26864,26554,27937,28832,28694,31255,32175,34501,33371,33677,35090,33186
Winchester,32634,33826,34046,34757,31145,#,36313,36012,39593,37664,35605,37203
Ashford,24785,26388,27286,26553,25575,27883,27751,29135,30198,31385,30198,29417
Canterbury,26172,30105,27859,30055,29871,32133,28517,32473,30640,34618,30372,30242
Dartford,29010,30050,28692,29689,30451,29143,32192,32836,34560,#,37970,34156
Dover,27881,26347,27189,27286,27797,#,25126,25580,28882,30977,34496,30282
Gravesham,29089,29774,28868,29033,28210,28713,29668,28945,30447,32577,29748,31314
Maidstone,29101,29744,29606,26735,28231,29845,29634,29964,29987,30746,32404,32000
Sevenoaks,32489,32694,30261,30212,32398,30728,30907,33182,31788,37470,37186,38798
Folkestone and Hythe,24393,25958,27345,27576,25710,28223,24503,27374,27247,29669,30893,31946
Swale,26791,29144,28919,27665,28701,29617,27483,29766,30872,31281,31965,31586
Thanet,21203,22016,22000,24000,22652,22695,24113,24919,24303,26381,26864,28176
Tonbridge and Malling,29711,32579,30890,30707,29700,34995,33490,33864,35113,36248,#,36416
Tunbridge Wells,30945,33225,34269,34435,35237,35133,30000,31150,35883,37345,43112,35735
Cherwell,29737,27901,27905,27186,28013,29156,31184,#,31744,31012,33235,34278
Oxford,26507,27900,26898,27437,29903,30510,29753,32486,33779,31558,34053,34896
South Oxfordshire,31637,32042,30388,31700,33327,31883,34257,36910,37318,38925,38600,36732
Vale of White Horse,31245,30955,31344,31598,32124,32035,33401,35030,36922,37873,37748,35375
West Oxfordshire,30037,29266,30186,29491,#,31851,31266,31067,34370,34851,33527,32028
Elmbridge,35453,39942,39803,37632,37438,38394,37997,38230,42311,43110,41613,41943
Epsom and Ewell,32928,37866,35925,34849,34156,35112,34669,36148,36071,37624,36579,35293
Guildford,34398,33586,35368,34568,32354,34136,34883,36626,37895,38365,40435,40401
Mole Valley,36019,32138,32481,33468,32737,31023,#,34675,31383,31897,30680,38810
Reigate and Banstead,34638,34751,36314,36460,35855,35018,32538,34095,37400,38369,39968,37684
Runnymede,33172,#,32636,33120,31502,31743,31163,32919,31712,38899,34112,36627
Spelthorne,31729,33381,32930,34341,32925,34066,34997,35250,34741,33591,34768,38832
Surrey Heath,34972,33232,34489,36188,35339,34183,35928,38979,39847,37636,39555,42219
Tandridge,29744,28636,30651,31553,31336,31635,34021,33602,35817,36113,37609,38435
Waverley,36514,34172,36938,34404,38206,37625,40223,39139,40374,40083,41159,41377
Woking,28856,29831,32834,31524,31730,31028,35063,36134,35170,#,40230,37142
Adur,21179,21328,23221,22633,#,25227,24645,24527,26771,27919,30250,#
Arun,24000,22802,23878,24951,24747,24942,26109,26535,27914,25770,28876,28733
Chichester,25148,27990,28290,26341,25678,27984,30244,30676,31356,34273,29953,30000
Crawley,26623,26447,27216,27221,27733,28374,29626,28009,28066,29388,31493,31335
Horsham,#,32408,30529,32174,31154,#,33430,32908,34111,34303,34266,35198
Mid Sussex,30167,29882,29876,29889,30575,31738,33088,#,36107,35425,36721,35136
Worthing,25214,26332,25979,26610,26508,26653,28061,26460,28578,29668,29374,30358
Bath and North East Somerset,26248,25937,26864,29302,27953,28151,29888,29211,31902,32255,31098,30906
"Bristol, City of",25570,25235,25501,25910,26541,27305,27378,27924,29093,30395,32339,32452
Cornwall,22083,21755,22087,22234,23290,23300,24574,25008,24781,25877,27244,25597
Isles of Scilly,#,#,#,!,#,#,#,#,#,!,#,#
North Somerset,27695,28663,29037,29746,29893,29486,30086,30944,30246,31067,34638,30359
Plymouth,23624,23673,23998,24129,24493,25006,24970,26979,27685,25837,28165,25903
South Gloucestershire,25956,26709,27474,27344,28613,29031,29739,30238,30538,31636,31965,31714
Swindon,26677,26869,26912,26628,27268,28123,29248,28736,30018,30659,31912,30662
Torbay,19571,22055,21488,21923,22308,22380,22412,23878,24232,25912,27029,26416
Wiltshire,25459,26622,25291,26000,26854,27045,26857,29132,29286,29894,31172,30399
East Devon,22810,23097,22836,25132,24679,25586,27754,26849,27601,29364,29456,29274
Exeter,22755,23006,22089,23714,24151,24404,27275,26202,27965,29748,30897,30444
Mid Devon,21727,22095,23124,23609,23451,24598,25618,27353,27961,27537,26961,27883
North Devon,19772,20572,21346,21019,22102,22214,22554,#,23599,23932,24671,26106
South Hams,25545,25245,25869,24622,#,27596,26413,27275,28182,28448,29781,31341
Teignbridge,23340,22890,24063,24028,23964,24617,24931,23401,24516,25304,25136,26930
Torridge,20098,20670,21814,21940,23723,23391,23211,24710,24136,25101,26932,26537
West Devon,#,23149,23047,26068,25865,25177,24492,22757,26619,26346,26500,25588
"Bournemouth, Christchurch and Poole",-,-,-,-,-,-,-,-,29853,31086,29242,28755
Dorset,23376,24735,24860,26046,26595,26997,26414,26262,27633,28942,30869,30000
Cheltenham,27273,27020,28417,29645,29045,29804,28264,29365,29861,33209,33694,34101
Cotswold,23288,24393,25566,25861,26933,#,28660,#,#,31069,32213,31115
Forest of Dean,24757,26241,27293,27853,25919,26722,29039,31032,#,#,32397,29108
Gloucester,23005,23011,23653,24972,24560,25126,26494,26042,27203,28503,27491,27668
Stroud,25979,26351,27169,27273,27189,27319,26454,27821,28894,28308,31607,30183
Tewkesbury,26918,28901,27630,29528,26716,30696,#,31556,#,32222,34078,32608
Mendip,25097,26090,26030,26220,26495,25813,27379,27769,30517,29644,29458,28527
Sedgemoor,24674,21933,24025,23752,#,25000,23390,26166,26981,27468,27702,28048
South Somerset,22559,23890,24564,25199,25443,23723,24148,26186,27406,29460,30901,30108
Somerset West and Taunton,-,-,-,-,-,-,-,-,25834,29657,29072,28672
Isle of Anglesey,22871,21079,23640,23076,23605,23568,24075,25415,25396,27101,27319,28760
Gwynedd,#,22262,22903,23700,#,#,22041,23641,#,24593,27245,24771
Conwy,22441,22824,22471,26160,26618,26917,#,26418,25599,25938,30644,28473
Denbighshire,21447,#,21507,22134,21041,22156,23693,25157,25612,24604,26188,26974
Flintshire,24761,24385,25259,25612,26935,27714,28602,26988,26896,27179,28399,30054
Wrexham,23619,22385,24003,25491,25427,25938,25845,25296,27225,28953,29282,27793
Powys,20766,22937,20825,21486,22369,24526,25137,25004,26115,26946,28336,27414
Ceredigion,21181,21951,21354,22822,21698,21937,23074,23120,24772,25455,26223,27902
Pembrokeshire,23786,23671,21911,23208,23141,23220,23184,24210,24992,24134,27934,29558
Carmarthenshire,22276,22507,23712,25045,26015,24354,24551,26641,26098,27133,29356,29769
Swansea,24262,25214,24973,24507,25826,24900,25394,26211,28273,28121,27905,28827
Neath Port Talbot,25127,22732,23788,23246,24025,25858,24227,25055,25665,28011,27544,30620
Bridgend,23669,23691,23734,24479,25914,26181,26094,27353,28715,28190,28838,29667
Vale of Glamorgan,27698,26900,26221,28323,27341,27790,32184,31674,30063,31874,30016,29564
Cardiff,25472,25183,26169,26514,26427,26679,27521,27910,29404,30468,28785,29288
Rhondda Cynon Taff,22121,23233,23543,24204,24457,25003,25403,26189,25994,26512,27841,27693
Merthyr Tydfil,20664,21450,22046,21533,21859,22080,22626,24183,23702,25444,25916,27074
Caerphilly,21486,22810,22752,23704,23902,24539,24449,24967,26056,27341,28309,29289
Blaenau Gwent,19262,19627,20652,#,21084,23015,22953,25998,24967,23549,26204,27747
Torfaen,23612,23715,23456,22780,25132,25034,25220,27751,27480,27811,29124,26454
Monmouthshire,26554,28539,29137,28343,30037,30978,31846,31433,33116,34875,34414,34012
Newport,23586,23615,23847,23839,24888,25514,25394,26230,27561,28793,29535,29017
Aberdeen City,27092,28471,28342,27985,29284,30151,29350,28500,29829,30426,30615,29949
Aberdeenshire,28538,28329,29897,29846,29402,30535,29887,29434,30877,32539,33970,32605
Angus,23451,22793,24266,24181,24462,26471,27505,27529,29052,29333,29858,30305
Argyll and Bute,24193,25287,24645,24468,25794,26489,25592,24721,24517,27868,28321,26902
Clackmannanshire,25106,25224,24415,24523,24481,26563,25427,26428,24904,#,29233,30505
Dumfries and Galloway,23461,23934,21798,23262,23932,23867,24414,24565,24130,24461,26142,27555
Dundee City,23012,21810,21913,23467,24021,24086,24800,26289,26339,27346,29570,28192
East Ayrshire,25338,25404,26198,26070,27881,25565,28786,27855,30071,29454,32601,32383
East Dunbartonshire,29153,28902,29165,31085,31951,32045,33356,31949,34589,36166,36839,37402
East Lothian,25671,26335,26460,28000,27668,29038,29737,31777,31628,31654,32098,30788
East Renfrewshire,31040,34200,29957,31250,31525,34772,35410,36354,38136,40218,43289,44557
City of Edinburgh,27700,27573,28482,29637,30013,30015,29426,30546,31521,32098,34124,33241
Na h-Eileanan Siar,23596,24130,25491,24401,24735,24357,24808,24188,26006,27132,26823,33505
Falkirk,24092,24163,24691,26048,26333,26984,28248,27859,29327,29838,30079,30122
Fife,24362,24998,25628,25908,26403,27140,27584,27480,28300,29248,31147,30810
Glasgow City,23534,24447,24443,25069,25759,27340,26860,27112,27710,29542,31468,31872
Highland,23264,23362,23966,25025,25737,26997,27918,28262,29044,29757,32002,31191
Inverclyde,23933,23622,24059,25436,26194,27070,27955,28205,28908,27353,28242,31353
Midlothian,24210,22854,23941,23839,25010,26887,27501,28141,27587,28425,31061,30449
Moray,21879,23834,23290,23697,23303,26134,24519,27082,27269,28103,30024,28685
North Ayrshire,24289,25095,24910,26438,26964,25532,27282,29234,30361,29950,30857,32862
North Lanarkshire,23000,23762,24752,25277,25962,26277,26922,27494,28326,29258,31020,31107
Orkney Islands,26913,#,#,28870,25891,#,29306,26529,30556,30644,35080,26998
Perth and Kinross,24206,24490,25696,24544,24427,26603,27667,27907,29854,31012,30354,30172
Renfrewshire,26407,26245,27354,28433,27071,27957,28930,30765,30971,32722,32580,34606
Scottish Borders,24129,24227,24124,25406,25415,25526,25733,27081,27234,27826,28138,28226
Shetland Islands,27750,27897,27983,28036,28743,29485,31992,31644,33411,31768,34125,33729
South Ayrshire,28434,28783,28932,29511,29332,29594,28907,29505,30913,31648,33445,34065
South Lanarkshire,25654,25307,26100,25999,26824,28247,27993,28743,29497,30522,32998,33630
Stirling,26619,24962,27687,27752,28465,26407,31541,31705,31714,#,32523,34265
West Dunbartonshire,22626,23282,24696,#,25715,27139,26664,26678,26974,27102,28884,31093
West Lothian,23836,23554,25792,25108,26406,26482,26124,28034,28723,29245,31044,30623
